rank,sweep_stage,title,year,venue,authors,doi,url,source,citation_count,query_hits,concepts,focus_tags,relevance_score,hostile_score,abstract_snippet,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
359,landscape,Human-Robot Collaboration for Heavy Object Manipulation: Kinesthetic Teaching of the Role of Wheeled Mobile Manipulator,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Hongjun Xing; Ali Torabi; Liang Ding; Haibo Gao; Weihua Li; Vivian K. Mushahwar; Mahdi Tavakoli,10.1109/iros51168.2021.9635910,https://doi.org/10.1109/iros51168.2021.9635910,openalex,13,kinesthetic_teaching,Kinesthetic learning; Robot; Human-computer interaction; Computer science; Mobile manipulator; Redundancy (engineering); Object (grammar); Task (project management),kinesthetic teaching,11.264,14.935,"Human-robot collaboration (HRC) significantly extends robotic systems' applications when working in spaces like houses, hospitals, or laboratories. However, new challenges appear during a close collaboration between humans and robots and imitating the movement of humans by robots. Learning from demonstration (LfD), or kinesthetic teaching, is a popular approach to help teach a robot human behavior by demonstrations without the need to explicitly reprogram the robot for different procedures. In this paper, we propose a method for object manipulation, including lifting, carrying, and lowering th",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
360,landscape,Towards Autonomous Robotic Valve Turning,2012,Cybernetics and Information Technologies,A. Carrera; S. R. Ahmadzadeh; A. Ajoudani; P. Kormushev; M. Carreras; D. G. Caldwell,10.2478/cait-2012-0018,https://doi.org/10.2478/cait-2012-0018,openalex,163,intervention_learning; kinesthetic_teaching,Artificial intelligence; Computer science; Fuzzy logic; Imitation; Kalman filter; Robot; Set (abstract data type); Task (project management),kinesthetic teaching; intervention learning; safety/control,11.262,16.580,"Abstract In this paper an autonomous intervention robotic task to learn the skill of grasping and turning a valve is described. To resolve this challenge a set of different techniques are proposed, each one realizing a specific task and sending information to the others in a Hardware-In-Loop (HIL) simulation. To improve the estimation of the valve position, an Extended Kalman Filter is designed. Also to learn the trajectory to follow with the robotic arm, Imitation Learning approach is used. In addition, to perform safely the task a fuzzy system is developed which generates appropriate decisio",Claims that human interventions can keep learning robots safe or provide targeted training data.,Uses human interventions as corrective labels or safety takeovers during policy learning.,human input is treated as an informative training signal rather than only transient compliance; future behavior changes smoothly with the learned cost or trajectory parameters,trajectory parameterization,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
361,landscape,Hierarchical Human-to-Robot Imitation Learning for Long-Horizon Tasks via Cross-Domain Skill Alignment,2024,IEEE International Conference on Robotics and Automation,Zhenyang Lin; Yurou Chen; Zhiyong Liu,10.1109/ICRA57147.2024.10610084,https://www.semanticscholar.org/paper/54c3f1e7e8a830fb81fd5381c5b3970732bda2f6,semanticscholar,9,interactive_imitation,,kinesthetic teaching,11.254,12.686,"For a general-purpose robot, it is desirable to imitate human demonstration videos that can effectively solve long-horizon tasks and perform novel ones. Recent advances in skill-based imitation learning have shown that extracting skill embedding from raw human videos is a promising paradigm to enable robots to cope with long-horizon tasks. However, generalization to unseen tasks in a different domain with a human prompt video poses a significant challenge due to the big embodiment and environment difference. To this end, we present Hierarchical Human-to-Robot Imitation Learning (H2RIL) that le",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,policy class,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
362,landscape,A Survey of Embodied Learning for Object-centric Robotic Manipulation,2025,Machine Intelligence Research,Ying Zheng; Lei Yao; Yuejiao Su; Yi Zhang; Yi Wang; Sicheng Zhao; Yiyi Zhang; LapPui Chau,10.1007/s11633-025-1542-8,https://doi.org/10.1007/s11633-025-1542-8,openalex,8,lfd,Embodied cognition; Object (grammar); Computer science; Artificial intelligence; Computer vision; Human-computer interaction; Cognitive science; Psychology,robot learning adjacent,11.253,12.608,"Abstract Embodied learning for object-centric robotic manipulation is a rapidly developing and challenging area in embodied AI. It is crucial for advancing next-generation intelligent robots and has garnered significant interest recently. Unlike data-driven machine learning methods, embodied learning focuses on robot learning through physical interaction with the environment and perceptual feedback, making it especially suitable for robotic manipulation. In this paper, we provide a comprehensive survey of the latest advancements in this field and categorize the existing work into three main br","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",human input is treated as an informative training signal rather than only transient compliance,policy class,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
363,landscape,"First-in-human, robotic-assisted neuroendovascular intervention",2020,Journal of NeuroInterventional Surgery,Vtor Mendes Pereira; Nicole M Cancelliere; Patrick Nicholson; Ivan Radovanovic; Kaitlyn E Drake; JohnMichael Sungur; Timo Krings; Aquilla S Turk,10.1136/neurintsurg-2019-015671.rep,https://doi.org/10.1136/neurintsurg-2019-015671.rep,openalex,142,intervention_learning,Medicine; Neurovascular bundle; Stent; Fluoroscopy; Radiology; Aneurysm; Medical physics; Surgery,intervention learning,11.252,16.481,"Robotic-assisted technology has been used as a tool to enhance open and minimally invasive surgeries as well as percutaneous coronary and peripheral vascular interventions. It offers many potential benefits, including increased procedural and technical accuracy as well as reduced radiation dose during fluoroscopic procedures. It also offers the potential for truly ""remote"" procedures. Despite these benefits, robotic technology has not yet been used in the neuroendovascular field, aside from diagnostic cerebral angiography. Here, we report the first robotic-assisted, therapeutic, neuroendovascu",Claims that human interventions can keep learning robots safe or provide targeted training data.,Uses human interventions as corrective labels or safety takeovers during policy learning.,human input is treated as an informative training signal rather than only transient compliance; the robot can infer intent while sharing control authority,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
364,landscape,Robots Enact Malignant Stereotypes,2022,"2022 ACM Conference on Fairness, Accountability, and Transparency",Andrew Hundt; William Agnew; Vicky Zeng; Severin Kacianka; Matthew Gombolay,10.1145/3531146.3533138,https://doi.org/10.1145/3531146.3533138,openalex,50,interactive_imitation; shared_autonomy,Artificial intelligence; Audit; Computer science; Identity (music); Race (biology); Robot; Robotics; Sociotechnical system,safety/control,11.249,13.797,"Stereotypes, bias, and discrimination have been extensively documented in Machine Learning (ML) methods such as Computer Vision (CV) [18, 80], Natural Language Processing (NLP) [6], or both, in the case of large image and caption models such as OpenAI CLIP [14]. In this paper, we evaluate how ML bias manifests in robots that physically and autonomously act within the world. We audit one of several recently published CLIP-powered robotic manipulation methods, presenting it with objects that have pictures of human faces on the surface which vary across race and gender, alongside task description","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,policy class,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
365,landscape,Learning manipulation actions from human demonstrations,2016,,Tim Welschehold; Christian Dornhege; Wolfram Burgard,10.1109/iros.2016.7759555,https://doi.org/10.1109/iros.2016.7759555,openalex,22,kinesthetic_teaching,Kinesthetic learning; Robot; Programming by demonstration; Computer science; Object (grammar); Artificial intelligence; Human-computer interaction; Doors,kinesthetic teaching,11.242,15.256,"Learning from demonstration is a popular approach for teaching robots as it allows service robots to acquire new skills without explicit programming. However, for manipulation actions mostly kinesthetic teaching is used as these actions require precise knowledge about the interactions between the robot and the object. In this paper, we present a novel approach that allows a robot to learn actions carried out by a teacher from observations. We achieve this by first transforming RGBD observations to consistent hand-object trajectories, which are then adapted to the robot's grasping capabilities.",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
366,landscape,State of the Art and Future Opportunities in MRI-Guided Robot-Assisted Surgery and Interventions,2022,Proceedings of the IEEE,Hao Su; KaWai Kwok; Kevin Cleary; Iulian Iordachita; M. Cenk avuolu; Jaydev P. Desai; Gregory S. Fischer,10.1109/jproc.2022.3169146,https://doi.org/10.1109/jproc.2022.3169146,openalex,109,intervention_learning,Interventional magnetic resonance imaging; Magnetic resonance imaging; Computer science; Visualization; Medical imaging; Medical physics; Computer vision; Modalities,physical correction; reward inference; intervention learning,11.237,16.294,"Magnetic resonance imaging (MRI) can provide high-quality 3-D visualization of target anatomy, surrounding tissue, and instrumentation, but there are significant challenges in harnessing it for effectively guiding interventional procedures. Challenges include the strong static magnetic field, rapidly switching magnetic field gradients, high-power radio frequency pulses, sensitivity to electrical noise, and constrained space to operate within the bore of the scanner. MRI has a number of advantages over other medical imaging modalities, including no ionizing radiation, excellent soft-tissue cont",Claims that human interventions can keep learning robots safe or provide targeted training data.,Uses human interventions as corrective labels or safety takeovers during policy learning.,human input is treated as an informative training signal rather than only transient compliance; the robot can infer intent while sharing control authority,feature map,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
367,landscape,Quick Setup of Force-Controlled Industrial Gluing Tasks Using Learning From Demonstration,2021,Frontiers in Robotics and AI,Iigo Iturrate; Alja Kramberger; Christoffer Sloth,10.3389/frobt.2021.767878,https://doi.org/10.3389/frobt.2021.767878,openalex,12,kinesthetic_teaching,Controller (irrigation); Computer science; Task (project management); Process (computing); Robot; Motion controller; Simulation; Admittance,kinesthetic teaching; safety/control,11.229,14.848,"This paper presents a framework for programming in-contact tasks using learning by demonstration. The framework is demonstrated on an industrial gluing task, showing that a high quality robot behavior can be programmed using a single demonstration. A unified controller structure is proposed for the demonstration and execution of in-contact tasks that eases the transition from admittance controller for demonstration to parallel force/position control for the execution. The proposed controller is adapted according to the geometry of the task constraints, which is estimated online during the demo",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
368,landscape,Dexterous Manipulation for Multi-Fingered Robotic Hands With Reinforcement Learning: A Review,2022,Frontiers in Neurorobotics,Chunmiao Yu; Peng Wang,10.3389/fnbot.2022.861825,https://doi.org/10.3389/fnbot.2022.861825,openalex,46,interactive_imitation; kinesthetic_teaching,Artificial intelligence; Computer science; Field (mathematics); Human-computer interaction; Mathematics; Reinforcement learning; Robot; Robotics,kinesthetic teaching,11.213,13.707,"With the increasing demand for the dexterity of robotic operation, dexterous manipulation of multi-fingered robotic hands with reinforcement learning is an interesting subject in the field of robotics research. Our purpose is to present a comprehensive review of the techniques for dexterous manipulation with multi-fingered robotic hands, such as the model-based approach without learning in early years, and the latest research and methodologies focused on the method based on reinforcement learning and its variations. This work attempts to summarize the evolution and the state of the art in this","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
369,landscape,The BesMan Learning Platform for Automated Robot Skill Learning,2018,Frontiers in Robotics and AI,Lisa Gutzeit; Alexander Fabisch; Marc Otto; Jan Hendrik Metzen; Jonas Meinertz Hansen; Frank Kirchner; Elsa Andrea Kirchner,10.3389/frobt.2018.00043,https://doi.org/10.3389/frobt.2018.00043,openalex,16,kinesthetic_teaching,Computer science; Robot learning; Artificial intelligence; Robot; Software deployment; Task (project management); Reinforcement learning; Human-computer interaction,kinesthetic teaching,11.204,13.010,"We describe the BesMan learning platform which allows learning robotic manipulation behavior. It is a stand-alone solution which can be combined with different robotic systems and applications. Behavior that is adaptive to task changes and different target platforms can be learned to solve unforeseen challenges and tasks, which can occur during deployment of a robot. The learning platform is composed of components that deal with preprocessing of human demonstrations, segmenting the demonstrated behavior into basic building blocks, imitation, refinement by means of reinforcement learning, and g",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
370,landscape,A Robot Is Not Worth Another: Exploring Children's Mental State Attribution to Different Humanoid Robots,2020,Frontiers in Psychology,Federico Manzi; Giulia Peretti; Cinzia Di Dio; Angelo Cangelosi; Shoji Itakura; Takayuki Kanda; Hiroshi Ishiguro; Davide Massaro,10.3389/fpsyg.2020.02011,https://doi.org/10.3389/fpsyg.2020.02011,openalex,113,correction_learning; hri_correction; interactive_imitation; physical_correction,Attribution; Cognitive psychology; Generalizability theory; Humanoid robot; Perception; Psychology; Robot; Robotics,physical correction; reward inference; embodied hri,11.203,14.283,"Recent technological developments in robotics has driven the design and production of different humanoid robots. Several studies have highlighted that the presence of human-like physical features could lead both adults and children to anthropomorphize the robots. In the present study we aimed to compare the attribution of mental states to two humanoid robots, NAO and Robovie, which differed in the degree of anthropomorphism. Children aged 5, 7, and 9 years were required to attribute mental states to the NAO robot, which presents more human-like characteristics compared to the Robovie robot, wh","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,feature map,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
371,landscape,Child Speech Recognition in Human-Robot Interaction,2017,,James Kennedy; Sverin Lemaignan; Caroline Montassier; Pauline Lavalade; Bahar Irfan; Fotios Papadopoulos; Emmanuel Senft; Tony Belpaeme,10.1145/2909824.3020229,https://doi.org/10.1145/2909824.3020229,openalex,159,correction_learning; hri_correction; physical_correction; shared_autonomy,Computer science; Domain (mathematical analysis); Human-computer interaction; Human-robot interaction; Modality (human-computer interaction); Robot; Speech recognition; Variety (cybernetics),physical correction; embodied hri,11.201,14.503,"An increasing number of human-robot interaction (HRI) studies are now taking place in applied settings with children. These interactions often hinge on verbal interaction to effectively achieve their goals. Great advances have been made in adult speech recognition and it is often assumed that these advances will carry over to the HRI domain and to interactions with children. In this paper, we evaluate a number of automatic speech recognition (ASR) engines under a variety of conditions, inspired by real-world social HRI conditions. Using the data collected we demonstrate that there is still muc","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
372,landscape,Robot Programming by Demonstration with Crowdsourced Action Fixes,2014,Proceedings of the AAAI Conference on Human Computation and Crowdsourcing,Maxwell Forbes; Michael Chung; Maya akmak; Rajesh P. N. Rao,10.1609/hcomp.v2i1.13164,https://doi.org/10.1609/hcomp.v2i1.13164,openalex,25,kinesthetic_teaching,Crowdsourcing; Computer science; Action (physics); Human-computer interaction; Representation (politics); Robot; Programming by demonstration; Software deployment,kinesthetic teaching,11.198,13.295,"Programming by Demonstration (PbD) can allow end-users to teach robots new actions simply by demonstrating them. However, learning generalizable actions requires a large number of demonstrations that is unreasonable to expect from end-users. In this paper, we explore the idea of using crowdsourcing to collect action demonstrations from the crowd. We propose a PbD framework in which the end-user provides an initial seed demonstration, and then the robot searches for scenarios in which the action will not work and requests the crowd to fix the action for these scenarios. We use instance-based le",Claims that demonstrations can transfer task structure from people to robots.,Uses demonstrations or kinesthetic traces as training data for a robot policy or trajectory representation.,the teacher can show behavior close enough to the desired policy,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update; re-demonstration can be larger than the minimum behavior-changing physical input,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
373,landscape,"Calming Effects of Touch in Human, Animal, and Robotic Interaction-Scientific State-of-the-Art and Technical Advances",2020,Frontiers in Psychiatry,Monika Eckstein; Ilshat Mamaev; Beate Ditzen; Uta Sailer,10.3389/fpsyt.2020.555058,https://doi.org/10.3389/fpsyt.2020.555058,openalex,122,intervention_learning,Affect (linguistics); Parallels; Arousal; Psychology; Relevance (law); Stress reduction; Human-computer interaction; Cognitive psychology,intervention learning; safety/control,11.186,16.316,"Small everyday gestures such as a tap on the shoulder can affect the way humans feel and act. Touch can have a calming effect and alter the way stress is handled, thereby promoting mental and physical health. Due to current technical advances and the growing role of intelligent robots in households and healthcare, recent research also addressed the potential of robotic touch for stress reduction. In addition, touch by non-human agents such as animals or inanimate objects may have a calming effect. This conceptual article will review a selection of the most relevant studies reporting the physio","Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
374,landscape,Reach and grasp by people with tetraplegia using a neurally controlled robotic arm,2012,Nature,Leigh R. Hochberg; Daniel Bacher; Beata Jarosiewicz; Nicolas Y. Masse; John D. Simeral; Jrn Vogel; Sami Haddadin; Jie Liu,10.1038/nature11076,https://doi.org/10.1038/nature11076,openalex,2731,correction_learning; hri_correction; human_feedback; physical_correction,Brain-computer interface; Computer science; Interface (matter); Neuroprosthetics; Physical medicine and rehabilitation; Population; Robotic arm; Tetraplegia,physical correction; safety/control; embodied hri,11.186,15.186,,"Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
375,landscape,Field Scanalyzer: An automated robotic field phenotyping platform for detailed crop monitoring,2016,Functional Plant Biology,Nicolas Virlet; Kasra Sabermanesh; Pouria SadeghiTehran; Malcolm J. Hawkesford,10.1071/fp16163,https://doi.org/10.1071/fp16163,openalex,379,correction_learning; hri_correction; intervention_learning,Artificial intelligence; Biology; Computer science; Computer vision; Field (mathematics); Hyperspectral imaging; Precision agriculture; Remote sensing,physical correction; intervention learning; embodied hri,11.179,17.047,"Current approaches to field phenotyping are laborious or permit the use of only a few sensors at a time. In an effort to overcome this, a fully automated robotic field phenotyping platform with a dedicated sensor array that may be accurately positioned in three dimensions and mounted on fixed rails has been established, to facilitate continual and high-throughput monitoring of crop performance. Employed sensors comprise of high-resolution visible, chlorophyll fluorescence and thermal infrared cameras, two hyperspectral imagers and dual 3D laser scanners. The sensor array facilitates specific g","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
376,landscape,"Path Smoothing Techniques in Robot Navigation: State-of-the-Art, Current and Future Challenges",2018,Sensors,Abhijeet Ravankar; Ankit A. Ravankar; Yukinori Kobayashi; Yohei HOSHINO; Chao-Chung Peng,10.3390/s18093170,https://doi.org/10.3390/s18093170,openalex,299,correction_learning; hri_correction; human_feedback,Computer science; Mobile robot; Mobile robot navigation; Motion planning; Path (computing); Robot; Smoothing; Trajectory,physical correction; safety/control; embodied hri,11.176,14.889,"Robot navigation is an indispensable component of any mobile service robot. Many path planning algorithms generate a path which has many sharp or angular turns. Such paths are not fit for mobile robot as it has to slow down at these sharp turns. These robots could be carrying delicate, dangerous, or precious items and executing these sharp turns may not be feasible kinematically. On the contrary, smooth trajectories are often desired for robot motion and must be generated while considering the static and dynamic obstacles and other constraints like feasible curvature, robot and lane dimensions","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",future behavior changes smoothly with the learned cost or trajectory parameters,trajectory parameterization,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
377,landscape,Machine Learning for Fluid Mechanics,2019,Annual Review of Fluid Mechanics,Steven L. Brunton; Bernd R. Noack; Petros Koumoutsakos,10.1146/annurev-fluid-010719-060214,https://doi.org/10.1146/annurev-fluid-010719-060214,openalex,2585,correction_learning; hri_correction; physical_correction,Artificial intelligence; Computer science; Current (fluid); Domain (mathematical analysis); Field (mathematics); Fluid dynamics; Fluid mechanics; Perspective (graphical),physical correction; safety/control; embodied hri,11.162,15.162,"The field of fluid mechanics is rapidly advancing, driven by unprecedented volumes of data from experiments, field measurements, and large-scale simulations at multiple spatiotemporal scales. Machine learning (ML) offers a wealth of techniques to extract information from data that can be translated into knowledge about the underlying fluid mechanics. Moreover, ML algorithms can augment domain knowledge and automate tasks related to flow control and optimization. This article presents an overview of past history, current developments, and emerging opportunities of ML for fluid mechanics. We out","Improves how robots use human feedback, corrections, demonstrations, or interaction data.",Formulates correction or stabilization through a control objective or constrained optimization.,the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
378,landscape,State of the Evidence Traffic Lights 2019: Systematic Review of Interventions for Preventing and Treating Children with Cerebral Palsy,2020,Current Neurology and Neuroscience Reports,Iona Novak; Catherine Morgan; Michael Fahey; Megan FinchEdmondson; Claire Galea; Ashleigh Hines; Katherine Langdon; Maria McNamara,10.1007/s11910-020-1022-z,https://doi.org/10.1007/s11910-020-1022-z,openalex,1088,intervention_learning,Medicine; Cerebral palsy; Psychological intervention; Botulinum toxin; Physical medicine and rehabilitation; Physical therapy; Surgery; Nursing,physical correction; intervention learning; safety/control,11.137,17.137,"PURPOSE OF REVIEW: Cerebral palsy is the most common physical disability of childhood, but the rate is falling, and severity is lessening. We conducted a systematic overview of best available evidence (2012-2019), appraising evidence using GRADE and the Evidence Alert Traffic Light System and then aggregated the new findings with our previous 2013 findings. This article summarizes the best available evidence interventions for preventing and managing cerebral palsy in 2019. RECENT FINDINGS: Effective prevention strategies include antenatal corticosteroids, magnesium sulfate, caffeine, and neona",Claims that a human correction can repair robot behavior more efficiently than full re-demonstration or autonomous trial-and-error.,Uses human interventions as corrective labels or safety takeovers during policy learning.,human input is treated as an informative training signal rather than only transient compliance,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to treat physical corrections as reward or feature-learning evidence.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
379,landscape,"A Long-Term Study of Young Children's Rapport, Social Emulation, and Language Learning With a Peer-Like Robot Playmate in Preschool",2019,Frontiers in Robotics and AI,Jacqueline M. Kory-Westlund; Cynthia Breazeal,10.3389/frobt.2019.00081,https://doi.org/10.3389/frobt.2019.00081,openalex,122,interactive_imitation,Storytelling; Emulation; Vocabulary; Psychology; Robot; Social robot; Computer science; Language acquisition,intervention learning,11.136,16.266,"Prior research has demonstrated the importance of children's peers for their learning and development. In particular, peer interaction, especially with more advanced peers, can enhance preschool children's language growth. In this paper, we explore one factor that may modulate children's language learning with a peer-like social robot: rapport. We explore connections between preschool children's learning, rapport, and emulation of the robot's language during a storytelling intervention. We performed a long-term field study in a preschool with 17 children aged 4--6 years. Children played a stor",Claims that human interventions can keep learning robots safe or provide targeted training data.,Uses human interventions as corrective labels or safety takeovers during policy learning.,human input is treated as an informative training signal rather than only transient compliance,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
380,landscape,Social Touch in Human-Robot Interaction: Robot-Initiated Touches can Induce Positive Responses without Extensive Prior Bonding,2018,International Journal of Social Robotics,Christian Willemse; Jan B. F. van Erp,10.1007/s12369-018-0500-9,https://doi.org/10.1007/s12369-018-0500-9,openalex,121,correction_learning; hri_correction; physical_correction; shared_autonomy,Artificial intelligence; Human-computer interaction; Human-robot interaction; Mechatronics; Psychology; Robot; Robotics; Social robot,physical correction; embodied hri,11.133,14.257,"Social touch interactions can, depending on the type and strength of the dyadic social relationship, elicit a plethora of physiological, emotional, and behavioral responses; both beneficial and disadvantageous. With the intention to expand the communicative capabilities of humanoid social robots, we investigated whether robot-initiated touches could elicit beneficial responses in the human user that are comparable to responses to human touch. In addition, we investigated whether having a pre-existing positive social bond with the robot modulates these responses. To this end, we conducted a $$2","Improves how robots use human feedback, corrections, demonstrations, or interaction data.","Introduces a robot learning, control, or interaction mechanism related to human feedback or embodied adaptation.",the paper fixes the robot update channel and evaluates feedback quality inside that channel,robot model and task distribution,physical correction energy may lie in the nullspace of the robot's learning update,Makes it less novel to merely use human corrections or feedback to update a robot policy.,Leaves open a certificate for the minimum physical intervention that is guaranteed to alter future behavior.
